游戏名称,游戏URL,AppID,原价,折扣价,基本好评率,详细好评率,基本标签,详细标签,基本发布时间,详细发布日期,游戏描述,开发商,发行商
艾尔登法环 黑夜君临,https://store.steampowered.com/app/2622380/_/?snr=1_7_7_7000_150_1,2622380,,,67.0,,[],[],2025-05-29,,未知,未知,未知
幻想生活ｉ 转圈圈的龙和偷取时间的少女,https://store.steampowered.com/app/2993780/i/?snr=1_7_7_7000_150_1,2993780,,,92.0,92.0,[],"['角色自定义', '制作', '城市营造', '探索', '玩家对战环境', '动作', '多人', '第三人称', '角色扮演', '单人', '奇幻', '在线合作', '日系角色扮演', '动作冒险', '合作', '可爱', '休闲', '开放世界', '团队角色扮演', '3D']",2025-05-21,2025-05-21,钓钓鱼，做做菜，建设建设岛屿，去广阔的大地图和伙伴们一起与怪物战斗……踏入这款慢生活角色扮演游戏的幻想世界，自由切换14种各有特色的职业，随心所欲地享受每一次冒险带来的惊喜吧！,未知,LEVEL5 Inc.
Apex Legends™,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_7000_150_1,1172470,,,67.0,58.0,[],"['角色自定义', '电影式', '团队导向', '大逃杀', '英雄射击', '欢乐', '动作', '多人', '射击', '故事架构丰富', '第一人称', '刷宝', '战术', '合作', '免费开玩', '玩家对战', '科幻', '赛博朋克', '生存', '第一人称射击']",2020-11-04,2020-11-04,由Respawn Entertainment开发制作，屡获殊荣的《Apex Legends》，是一款免费大逃杀英雄射击游戏。在这款革命性的新一代大逃杀英雄射击游戏中，掌控日益丰富且拥有强大技能的传奇角色，深度体验战术小队玩法及创新游戏元素。,未知,Electronic Arts
Yu-Gi-Oh! Master Duel,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel/?snr=1_7_7_7000_150_1,1449850,,,74.0,60.0,[],"['动漫', '好评原声音轨', '集换式卡牌游戏', '模拟', '龙', '玩家对战环境', '多人', '卡牌战斗', '单人', '战术', '奇幻', '免费开玩', '玩家对战', '卡牌游戏', '3D', '2D', '策略', '回合制战术', '电竞', '牌组构建']",2022-01-18,2022-01-18,史上最强的数位卡牌遊戏！,未知,KONAMI
Monster Hunter Wilds,https://store.steampowered.com/app/2246340/Monster_Hunter_Wilds/?snr=1_7_7_7000_150_1,2246340,,,62.0,43.0,[],"['角色自定义', '色情内容', '好评原声音轨', '氛围', '龙', '狩猎', '动作', '多人', '第三人称', '角色扮演', '单人', '奇幻', '在线合作', '动作角色扮演', '合作', '开放世界', '可爱', '冒险', '水底', '恋爱模拟']",2025-02-27,2025-02-27,狂野凶猛的大自然，袭来。 时刻都在动态变化的原野。 这是个关于生活在具有两面性的世界中的怪物与人们的故事。 进化的狩猎动作，寻求连续不断的沉浸感，究极的狩猎体验正等待你的到来。,未知,"CAPCOM Co., Ltd."
星之翼（Starward）,https://store.steampowered.com/app/2764370/Starward/?snr=1_7_7_7000_150_1,2764370,,,62.0,61.0,[],"['动漫', '动作', '多人', '第三人称射击', '射击', '竞技场射击', '第三人称', '卡牌战斗', '角色扮演', '华丽格斗', '3D 格斗', '合作', '玩家对战', '卡通', '女性主角', '3D', '机甲', '2D', '战斗', '电竞']",2024-04-24,2024-04-24,《星之翼》Steam版本为亚洲服务器版本，账号与其他服务器不互通。《星之翼》是一款融合了机甲美少女与经典GVG格斗玩法的3D竞技游戏，玩法以1V1、2V2对战为核心。在《星之翼》中，玩家可操纵个性鲜明、战斗风格迥异的机甲少女，通过格斗射击、敏捷操作、战术制定，感受不止于地面的三维战斗体验。,未知,盛天游戏
剑星,https://store.steampowered.com/app/3489700/_/?snr=1_7_7_7000_150_1,3489700,,,,,[],[],2025-06-11,,未知,未知,未知
F1® 25,https://store.steampowered.com/app/3059520/F1_25/?snr=1_7_7_7000_150_1,3059520,,,89.0,89.0,[],"['模拟', '体育', '在线合作', '合作', '多人', '汽车模拟', '竞速', '玩家对战', '虚拟现实', '驾驶', '单人']",2025-05-30,2025-05-30,在 2025 赛季国际汽联世界一级方程式锦标赛™官方电子游戏《F1® 25》中为赛车界留下您的印记。焕然一新的我的车队模式、扣人心弦的《刹车点》第三章等精彩内容等您体验！,未知,Electronic Arts
Street Fighter 6,https://store.steampowered.com/app/1364780/Street_Fighter_6/?snr=1_7_7_7000_150_1,1364780,,,84.0,,[],[],2023-06-01,,未知,未知,未知
The Elder Scrolls IV: Oblivion Remastered,https://store.steampowered.com/app/2623190/The_Elder_Scrolls_IV_Oblivion_Remastered/?snr=1_7_7_7000_150_1,2623190,346.5,277.2,81.0,78.0,[],"['角色自定义', '血腥', '色情内容', '好评原声音轨', '氛围', '探索', '动作', '多人', '第三人称', '单人', '角色扮演', '政治', '第一人称', '奇幻', '动作角色扮演', '动作冒险', '开放世界', '暴力', '冒险', '剧情丰富']",2025-04-22,2025-04-22,体验全新制作的精美画面和悉心改善的游戏系统，在《上古卷轴IV：湮灭重制版》中探索前所未有的西罗帝尔。,未知,Bethesda Softworks
勇者斗恶龙III HD-2D Remake,https://store.steampowered.com/app/2701660/III_HD2D_Remake/?snr=1_7_7_7000_150_1,2701660,383.90000000000003,287.90000000000003,71.0,,[],[],2024-11-14,,未知,未知,未知
光与影：33号远征队,https://store.steampowered.com/app/1903340/33/?snr=1_7_7_7000_150_1,1903340,,,95.0,,[],[],2025-04-24,,未知,未知,未知
《守望先锋® 2》,https://store.steampowered.com/app/2357570/_2/?snr=1_7_7_7000_150_1,2357570,,,23.0,,[],[],2023-08-10,,未知,未知,未知
艾尔登法环,https://store.steampowered.com/app/1245620/_/?snr=1_7_7_7000_150_1,1245620,,,92.0,,[],[],2022-02-24,,未知,未知,未知
勇者斗恶龙XI S 寻觅逝去的时光 - Definitive Edition,https://store.steampowered.com/app/1295510/XI_S___Definitive_Edition/?snr=1_7_7_7000_150_1,1295510,273.90000000000003,136.95000000000002,93.0,,[],[],2020-12-04,,未知,未知,未知
Wuthering Waves,https://store.steampowered.com/app/3513350/Wuthering_Waves/?snr=1_7_7_7000_150_1,3513350,,,89.0,,[],[],2025-04-28,,未知,未知,未知
